asset,origin_count,b0_completion_rate,b1a_completion_rate,b1b_completion_rate,b1c_completion_rate,b2_completion_rate,common_completion_rate
AAPL,12888,0.9133302296710117,0.9117008069522036,0.9023122284295468,0.9021570453134699,0.8047796399751707,0.8047796399751707
AMZN,12888,0.9134078212290503,0.9120111731843575,0.9086747361887026,0.9085195530726257,0.8050124146492862,0.8050124146492862
META,12888,0.9159683426443203,0.914804469273743,0.9132526381129733,0.9132526381129733,0.8074177529484792,0.8074177529484792
MSFT,12888,0.9158907510862818,0.914649286157666,0.9105369335816264,0.9105369335816264,0.8074177529484792,0.8074177529484792
NVDA,12888,0.9124767225325885,0.9108472998137802,0.8917597765363129,0.8917597765363129,0.8033054003724395,0.8033054003724395
TSLA,12888,0.9121663563004345,0.9105369335816264,0.8644475481067659,0.8644475481067659,0.803382991930478,0.803382991930478
