information_set,feature,coefficient,scale,selected_parameters_json
B1v3a,numeric__b0v2_qqq_return_5m,-0.007789209702909122,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b0v2_qqq_rv_30m,0.10322412826460506,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b0v2_session_sine,0.10129712647004875,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b0v2_session_cosine,0.02116118001463277,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b1v3_log_atm_variance_30d,0.14714294515869877,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b1v3_log_atm_variance_change_5m,-0.004748453761768427,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,numeric__b1v3_log_atm_variance_change_30m,0.0073589913659003045,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_AAPL,-0.21051845864487054,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_AMZN,0.0965542520985179,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_META,0.0908188364515652,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_MSFT,-0.14722523531864112,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_NVDA,-0.003049030868446265,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
B1v3a,categorical__b0v2_asset_identity_TSLA,0.17342054042542362,STANDARDIZED_NUMERIC_OR_ONE_HOT_GAMMA_LOG_LINK,"{""alpha"":0.1,""max_iter"":2000,""tol"":1e-08}"
