feature,row_count,finite_count,missing_or_nonfinite_count,mean,standard_deviation,p05,median,p95,near_constant
b1v3_log_atm_variance_30d,25704,25521,183,-2.1448222620779718,0.810366805899804,-3.4272202052798417,-2.3178608546681203,-0.8887128903824394,false
b1v3_log_atm_variance_change_5m,25704,25038,666,-0.00042446509723643994,0.01038521123916589,-0.013813240092301648,-0.0005708903446430824,0.013753919657861557,false
b1v3_log_atm_variance_change_30m,25704,23238,2466,-0.002473524382428146,0.0188392260323698,-0.030079746421356534,-0.0027408582237229417,0.026153507902250933,false
