asset,session_tercile,eligible_origin_count,terminal_reason_code,terminal_count,terminal_share
MSFT,first,1500,B0_INCOMPLETE,360,0.24
MSFT,first,1500,B1V3A_COMPLETE,1123,0.7486666666666667
MSFT,first,1500,B1_EXACT_30M_LAG_MISSING,3,0.002
MSFT,first,1500,B1_EXACT_5M_LAG_MISSING,5,0.0033333333333333335
MSFT,first,1500,B1_LEVEL_GEOMETRY_MISSING,9,0.006
MSFT,last,1239,B1V3A_COMPLETE,1174,0.9475383373688459
MSFT,last,1239,B1_EXACT_30M_LAG_MISSING,16,0.0129136400322841
MSFT,last,1239,B1_EXACT_5M_LAG_MISSING,20,0.016142050040355124
MSFT,last,1239,B1_LEVEL_GEOMETRY_MISSING,29,0.023405972558514933
MSFT,middle,1545,B1V3A_COMPLETE,1474,0.9540453074433657
MSFT,middle,1545,B1_EXACT_30M_LAG_MISSING,15,0.009708737864077669
MSFT,middle,1545,B1_EXACT_5M_LAG_MISSING,23,0.01488673139158576
MSFT,middle,1545,B1_LEVEL_GEOMETRY_MISSING,33,0.021359223300970873
NVDA,ALL,4284,B0_INCOMPLETE,360,0.08403361344537816
NVDA,ALL,4284,B1V3A_COMPLETE,3911,0.9129318394024276
NVDA,ALL,4284,B1_EXACT_30M_LAG_MISSING,5,0.0011671335200746965
NVDA,ALL,4284,B1_EXACT_5M_LAG_MISSING,3,0.0007002801120448179
NVDA,ALL,4284,B1_LEVEL_GEOMETRY_MISSING,5,0.0011671335200746965
NVDA,first,1500,B0_INCOMPLETE,360,0.24
NVDA,first,1500,B1V3A_COMPLETE,1137,0.758
NVDA,first,1500,B1_EXACT_30M_LAG_MISSING,1,0.0006666666666666666
NVDA,first,1500,B1_EXACT_5M_LAG_MISSING,1,0.0006666666666666666
NVDA,first,1500,B1_LEVEL_GEOMETRY_MISSING,1,0.0006666666666666666
NVDA,last,1239,B1V3A_COMPLETE,1236,0.9975786924939467
NVDA,last,1239,B1_EXACT_30M_LAG_MISSING,1,0.0008071025020177562
NVDA,last,1239,B1_EXACT_5M_LAG_MISSING,1,0.0008071025020177562
NVDA,last,1239,B1_LEVEL_GEOMETRY_MISSING,1,0.0008071025020177562
NVDA,middle,1545,B1V3A_COMPLETE,1538,0.9954692556634305
NVDA,middle,1545,B1_EXACT_30M_LAG_MISSING,3,0.001941747572815534
NVDA,middle,1545,B1_EXACT_5M_LAG_MISSING,1,0.0006472491909385113
NVDA,middle,1545,B1_LEVEL_GEOMETRY_MISSING,3,0.001941747572815534
TSLA,ALL,4284,B0_INCOMPLETE,360,0.08403361344537816
TSLA,ALL,4284,B1V3A_COMPLETE,3897,0.9096638655462185
TSLA,ALL,4284,B1_EXACT_30M_LAG_MISSING,6,0.0014005602240896359
TSLA,ALL,4284,B1_EXACT_5M_LAG_MISSING,4,0.0009337068160597573
TSLA,ALL,4284,B1_LEVEL_GEOMETRY_MISSING,17,0.003968253968253968
TSLA,first,1500,B0_INCOMPLETE,360,0.24
TSLA,first,1500,B1V3A_COMPLETE,1138,0.7586666666666667
TSLA,first,1500,B1_EXACT_30M_LAG_MISSING,1,0.0006666666666666666
TSLA,first,1500,B1_EXACT_5M_LAG_MISSING,1,0.0006666666666666666
TSLA,last,1239,B1V3A_COMPLETE,1216,0.9814366424535916
TSLA,last,1239,B1_EXACT_30M_LAG_MISSING,5,0.004035512510088781
TSLA,last,1239,B1_EXACT_5M_LAG_MISSING,3,0.002421307506053269
TSLA,last,1239,B1_LEVEL_GEOMETRY_MISSING,15,0.012106537530266344
TSLA,middle,1545,B1V3A_COMPLETE,1543,0.998705501618123
TSLA,middle,1545,B1_LEVEL_GEOMETRY_MISSING,2,0.0012944983818770227
