granularity,cohort,session_date,asset,both_timestamps_completeness,both_timestamps_count,created_at_completeness,created_at_missing_count,created_at_non_null_count,executed_at_completeness,executed_at_missing_count,executed_at_non_null_count,latency_max_seconds,latency_min_seconds,latency_p1_seconds,latency_p50_seconds,latency_p5_seconds,latency_p90_seconds,latency_p95_seconds,latency_p99_seconds,latency_within_120_seconds_count,latency_within_120_seconds_share,latency_within_300_seconds_count,latency_within_300_seconds_share,latency_within_60_seconds_count,latency_within_60_seconds_share,negative_latency_count,negative_latency_share,percentile_method,quantile_sample_count,row_count
global,all_existing_cohorts,,,1.0,819602983,1.0,0,819602983,1.0,0,819602983,23995.22314,0.029177,0.040132,0.0756855,0.047493150000000005,0.309732700000001,1.8593374999999983,8.414489600000007,815753417,0.9953031332488452,816488031,0.9961994379417723,815121678,0.9945323466447169,0,0.0,deterministic_hash_sample,249644,819602983
cohort,independent_replication_30,,,1.0,286706702,1.0,0,286706702,1.0,0,286706702,2038.201887,0.029177,0.0401519,0.075893,0.047586,0.35367899999999997,2.0570577500000002,12.02919775,285573007,0.9960458022359031,286129870,0.9979880763303538,285172032,0.9946472475554478,0,0.0,deterministic_hash_sample,87546,286706702
cohort,phase6,,,1.0,532896281,1.0,0,532896281,1.0,0,532896281,23995.22314,0.029368,0.04011697,0.075583,0.047446,0.2874877000000005,1.7688192999999988,6.745064419999993,530180410,0.9949035654838807,530358161,0.9952371219494399,529949646,0.9944705281214,0,0.0,deterministic_hash_sample,162098,532896281
