asset,origins,b1q_b1a_coverage,b1q_b1b_coverage,b1q_b1c_coverage,b1t_b1a_coverage,b1t_b1b_coverage,b1t_b1c_coverage
AAPL,355,0.9352112676056338,0.447887323943662,0.9098591549295775,1.0,1.0,1.0
AMZN,355,1.0,0.6253521126760564,0.9971830985915493,1.0,1.0,1.0
META,355,1.0,0.7380281690140845,0.9943661971830986,1.0,1.0,1.0
MSFT,355,1.0,0.5887323943661972,0.9971830985915493,1.0,1.0,1.0
NVDA,355,0.9070422535211268,0.16619718309859155,0.7070422535211267,1.0,1.0,1.0
QQQ,355,0.8591549295774648,0.6450704225352113,0.6732394366197183,1.0,1.0,1.0
SPY,355,0.5295774647887324,0.29295774647887324,0.3492957746478873,1.0,1.0,1.0
TSLA,355,0.9887323943661972,0.6845070422535211,0.9408450704225352,1.0,1.0,1.0
