origin_id,asset,session_date,forecast_origin_utc,session_segment,b1t_atm_iv,b1t_skew,b1t_complete,b1t_b1b_complete,b1t_b1c_complete,b1t_valid_contract_count,b1t_valid_quote_count,b1t_valid_expiry_bucket_count,b1t_median_quote_age,b1t_median_relative_spread,b1t_iv_inversion_success_rate,b1t_missing_reason
AAPL:2026-07-13T15:55:00+00:00,AAPL,2026-07-13,2026-07-13T15:55:00+00:00,middle,0.28164989618414266,-0.009622236651964489,true,true,true,89,89,3,122.413303,0.04784688995215311,1.0,
AAPL:2026-07-13T16:00:00+00:00,AAPL,2026-07-13,2026-07-13T16:00:00+00:00,middle,0.28684891028487314,-0.012935509180761973,true,true,true,102,102,3,161.7793985,0.04410291170576443,1.0,
AAPL:2026-07-13T16:05:00+00:00,AAPL,2026-07-13,2026-07-13T16:05:00+00:00,middle,0.29143345650021735,0.013410409093029763,true,true,true,110,110,3,111.891143,0.04605711688508447,1.0,
AAPL:2026-07-13T16:10:00+00:00,AAPL,2026-07-13,2026-07-13T16:10:00+00:00,middle,0.29163903660422186,0.002635009059809179,true,true,true,127,127,3,136.204977,0.05325443786982262,0.9921875,
AAPL:2026-07-13T16:15:00+00:00,AAPL,2026-07-13,2026-07-13T16:15:00+00:00,middle,0.2887717184878625,-0.013020185012310614,true,true,true,102,102,3,147.67449349999998,0.04066125017611421,0.9902912621359223,
AAPL:2026-07-13T16:20:00+00:00,AAPL,2026-07-13,2026-07-13T16:20:00+00:00,middle,0.291999830897469,-0.015251856972172906,true,true,true,106,106,3,136.742479,0.04001600640256101,1.0,
AAPL:2026-07-13T16:25:00+00:00,AAPL,2026-07-13,2026-07-13T16:25:00+00:00,middle,0.29247093101439253,-0.012035814500719277,true,true,true,81,81,3,136.237701,0.0353356890459364,1.0,
AAPL:2026-07-13T16:30:00+00:00,AAPL,2026-07-13,2026-07-13T16:30:00+00:00,middle,0.2843524819964506,-0.007189287297531988,true,true,true,96,96,3,133.8416375,0.04505327245053278,1.0,
AAPL:2026-07-13T16:35:00+00:00,AAPL,2026-07-13,2026-07-13T16:35:00+00:00,middle,0.28940591178143404,-0.008267535105869306,true,true,true,75,75,3,137.571043,0.03773584905660381,1.0,
AAPL:2026-07-13T16:40:00+00:00,AAPL,2026-07-13,2026-07-13T16:40:00+00:00,middle,0.29390596842970707,-0.006231589859142739,true,true,true,92,92,3,191.141913,0.04061018346732634,1.0,
AAPL:2026-07-13T16:45:00+00:00,AAPL,2026-07-13,2026-07-13T16:45:00+00:00,middle,0.2908428118415252,-0.008288359474472706,true,true,true,132,132,3,212.6372575,0.04407637044839569,1.0,
AAPL:2026-07-13T16:50:00+00:00,AAPL,2026-07-13,2026-07-13T16:50:00+00:00,middle,0.2869333253461533,-0.012653691026046965,true,true,true,80,80,3,152.4727335,0.0405810739281303,1.0,
AAPL:2026-07-13T16:55:00+00:00,AAPL,2026-07-13,2026-07-13T16:55:00+00:00,middle,0.292728814183727,-0.01486725807867928,true,true,true,82,82,3,131.217289,0.036675035868005676,1.0,
AAPL:2026-07-13T17:00:00+00:00,AAPL,2026-07-13,2026-07-13T17:00:00+00:00,middle,0.2857001054923944,-0.001756026989683579,true,true,true,67,67,3,167.540587,0.0384615384615385,1.0,
AAPL:2026-07-13T17:05:00+00:00,AAPL,2026-07-13,2026-07-13T17:05:00+00:00,middle,0.2916327594913244,-0.023561934884741897,true,true,true,62,62,3,134.4917325,0.036530442035029156,1.0,
AAPL:2026-07-13T17:10:00+00:00,AAPL,2026-07-13,2026-07-13T17:10:00+00:00,middle,0.28910813076098263,-0.0018065791689232391,true,true,true,62,62,3,147.80292400000002,0.03956525138791149,1.0,
AAPL:2026-07-13T17:15:00+00:00,AAPL,2026-07-13,2026-07-13T17:15:00+00:00,middle,0.27366792314898963,-0.0077111631110682866,true,true,true,64,64,3,180.28216650000002,0.03921568627450984,1.0,
AAPL:2026-07-13T17:20:00+00:00,AAPL,2026-07-13,2026-07-13T17:20:00+00:00,middle,0.2866023892486766,-0.009022800309926304,true,true,true,92,92,3,192.4956945,0.03830548793366011,0.989247311827957,
AAPL:2026-07-13T17:25:00+00:00,AAPL,2026-07-13,2026-07-13T17:25:00+00:00,middle,0.2868822702528239,-0.006391367528088443,true,true,true,72,72,3,161.233618,0.03949860724233974,1.0,
AAPL:2026-07-13T17:30:00+00:00,AAPL,2026-07-13,2026-07-13T17:30:00+00:00,middle,0.2832186342415288,-0.0064628558346181975,true,true,true,65,65,3,143.122511,0.03821656050955412,1.0,
AAPL:2026-07-13T17:35:00+00:00,AAPL,2026-07-13,2026-07-13T17:35:00+00:00,middle,0.2754179896753878,-0.003008879119388741,true,true,true,66,66,3,160.4554865,0.046156577312266994,1.0,
AAPL:2026-07-13T17:40:00+00:00,AAPL,2026-07-13,2026-07-13T17:40:00+00:00,middle,0.2868215480331033,-0.002071521761961348,true,true,true,50,50,3,200.3562005,0.039359108324625566,1.0,
AAPL:2026-07-13T17:45:00+00:00,AAPL,2026-07-13,2026-07-13T17:45:00+00:00,middle,0.27730449493167925,-0.00044316044527292764,true,true,true,56,56,3,160.81620850000002,0.030771051541511357,1.0,
AAPL:2026-07-13T17:50:00+00:00,AAPL,2026-07-13,2026-07-13T17:50:00+00:00,middle,0.2757553146444484,-0.0020445879184902704,true,true,true,55,55,3,144.121006,0.03076923076923066,1.0,
AAPL:2026-07-13T17:55:00+00:00,AAPL,2026-07-13,2026-07-13T17:55:00+00:00,middle,0.29077961230425164,-0.0101906785849184,true,true,true,73,73,3,174.417904,0.0402684563758389,1.0,
AAPL:2026-07-13T18:00:00+00:00,AAPL,2026-07-13,2026-07-13T18:00:00+00:00,middle,0.28956509340405095,-0.010402424043133851,true,true,true,69,69,3,128.693116,0.036697247706422055,1.0,
AAPL:2026-07-13T18:05:00+00:00,AAPL,2026-07-13,2026-07-13T18:05:00+00:00,middle,0.27190288095858695,-0.014902015030212656,true,true,true,58,58,3,157.9754845,0.0407527848889504,1.0,
AAPL:2026-07-13T18:10:00+00:00,AAPL,2026-07-13,2026-07-13T18:10:00+00:00,middle,0.2891441915638596,0.030291893980339213,true,true,true,48,48,3,199.3648565,0.04238854238854243,1.0,
AAPL:2026-07-13T18:15:00+00:00,AAPL,2026-07-13,2026-07-13T18:15:00+00:00,middle,0.27252375634200504,0.00045429906103755524,true,true,true,56,56,3,166.1212965,0.04806914799012063,1.0,
AAPL:2026-07-13T18:20:00+00:00,AAPL,2026-07-13,2026-07-13T18:20:00+00:00,middle,0.2905763418797701,-0.00014591959180687564,true,true,true,65,65,3,179.358511,0.035714285714285546,1.0,
AAPL:2026-07-13T18:25:00+00:00,AAPL,2026-07-13,2026-07-13T18:25:00+00:00,middle,0.28828845530054714,-0.007521732137277581,true,true,true,68,68,3,169.4883105,0.025158227848101254,1.0,
AAPL:2026-07-13T18:30:00+00:00,AAPL,2026-07-13,2026-07-13T18:30:00+00:00,middle,0.2841558612138219,0.0019418071797117076,true,true,true,62,62,3,149.9623885,0.03606649760495916,1.0,
AAPL:2026-07-13T18:35:00+00:00,AAPL,2026-07-13,2026-07-13T18:35:00+00:00,middle,0.28732464838729055,-0.001317336891874743,true,true,true,69,69,3,160.91948,0.034285714285714364,1.0,
AAPL:2026-07-13T18:40:00+00:00,AAPL,2026-07-13,2026-07-13T18:40:00+00:00,middle,0.27730082552146906,-0.005637890463016992,true,true,true,64,64,3,164.2269585,0.03434045689019892,1.0,
AAPL:2026-07-13T18:45:00+00:00,AAPL,2026-07-13,2026-07-13T18:45:00+00:00,middle,0.2890943285631873,0.0002691894231290348,true,true,true,73,73,3,111.445054,0.04081632653061222,1.0,
AAPL:2026-07-13T18:50:00+00:00,AAPL,2026-07-13,2026-07-13T18:50:00+00:00,middle,0.28981636418442797,0.0014383715494648008,true,true,true,65,65,3,183.575411,0.03448275862068954,1.0,
AAPL:2026-07-13T18:55:00+00:00,AAPL,2026-07-13,2026-07-13T18:55:00+00:00,middle,0.2890854996269457,-0.0007697938333154353,true,true,true,76,76,3,108.4603805,0.029712803818247056,1.0,
AAPL:2026-07-13T19:00:00+00:00,AAPL,2026-07-13,2026-07-13T19:00:00+00:00,last,0.29366388048807907,-0.013836842988208087,true,true,true,90,90,3,131.04103700000002,0.03704974271012,1.0,
AAPL:2026-07-13T19:05:00+00:00,AAPL,2026-07-13,2026-07-13T19:05:00+00:00,last,0.2927224066856951,-0.006578265304982622,true,true,true,78,78,3,115.9203785,0.053713049747656824,1.0,
AAPL:2026-07-13T19:10:00+00:00,AAPL,2026-07-13,2026-07-13T19:10:00+00:00,last,0.29079550066419696,-0.011266355943463813,true,true,true,81,81,3,193.625209,0.04724409448818902,1.0,
AAPL:2026-07-13T19:15:00+00:00,AAPL,2026-07-13,2026-07-13T19:15:00+00:00,last,0.2946100667817481,-0.012527329204395476,true,true,true,108,108,3,153.34059000000002,0.04117967661842184,1.0,
AAPL:2026-07-13T19:20:00+00:00,AAPL,2026-07-13,2026-07-13T19:20:00+00:00,last,0.2789861837683245,-0.008248163600191372,true,true,true,85,85,3,147.70427,0.04620462046204616,1.0,
AAPL:2026-07-13T19:25:00+00:00,AAPL,2026-07-13,2026-07-13T19:25:00+00:00,last,0.27872252640018236,0.003349147067196634,true,true,true,84,84,3,140.271692,0.03905927220721443,1.0,
AMZN:2026-07-13T13:35:00+00:00,AMZN,2026-07-13,2026-07-13T13:35:00+00:00,first,0.4410938723178879,-0.00668089703217889,true,true,true,152,152,3,186.002791,0.09569597069597069,1.0,
AMZN:2026-07-13T13:40:00+00:00,AMZN,2026-07-13,2026-07-13T13:40:00+00:00,first,0.4435093500643149,-0.01166447763803602,true,true,true,118,118,3,130.898146,0.06918556728442661,0.9915966386554622,
AMZN:2026-07-13T13:45:00+00:00,AMZN,2026-07-13,2026-07-13T13:45:00+00:00,first,0.449937039165549,-0.04826436716625854,true,true,true,136,136,3,138.3684975,0.07280088332719913,1.0,
AMZN:2026-07-13T13:50:00+00:00,AMZN,2026-07-13,2026-07-13T13:50:00+00:00,middle,0.45246982628001275,-0.06564824460273988,true,true,true,134,134,3,158.77832,0.06114659604299735,0.9925925925925926,
AMZN:2026-07-13T13:55:00+00:00,AMZN,2026-07-13,2026-07-13T13:55:00+00:00,middle,0.432342459351927,-0.016613524809732994,true,true,true,110,110,3,164.276228,0.05272407732864675,1.0,
AMZN:2026-07-13T14:00:00+00:00,AMZN,2026-07-13,2026-07-13T14:00:00+00:00,middle,0.4392791720177382,0.012205762210145465,true,true,true,118,118,3,137.053895,0.06689038031319919,1.0,
AMZN:2026-07-13T14:05:00+00:00,AMZN,2026-07-13,2026-07-13T14:05:00+00:00,middle,0.4230513264354691,-0.028771007267266557,true,true,true,120,120,3,132.9855365,0.06366092536305301,1.0,
AMZN:2026-07-13T14:10:00+00:00,AMZN,2026-07-13,2026-07-13T14:10:00+00:00,middle,0.4523868268287629,-0.024519334299966666,true,true,true,100,100,3,135.324225,0.060042918454935715,1.0,
AMZN:2026-07-13T14:15:00+00:00,AMZN,2026-07-13,2026-07-13T14:15:00+00:00,middle,0.4499267201134861,-0.022419351325817516,true,true,true,88,88,3,131.745619,0.05086936849589556,1.0,
AMZN:2026-07-13T14:20:00+00:00,AMZN,2026-07-13,2026-07-13T14:20:00+00:00,middle,0.43454995418258757,-0.018182244240671386,true,true,true,143,143,3,181.22047,0.08000000000000007,1.0,
AMZN:2026-07-13T14:25:00+00:00,AMZN,2026-07-13,2026-07-13T14:25:00+00:00,middle,0.43769398680697386,-0.01077540003322075,true,true,true,74,74,3,134.697123,0.05401576123407113,1.0,
AMZN:2026-07-13T14:30:00+00:00,AMZN,2026-07-13,2026-07-13T14:30:00+00:00,middle,0.4344294783184305,-0.013209206204250479,true,true,true,94,94,3,149.72374,0.053517093252192595,1.0,
AMZN:2026-07-13T14:35:00+00:00,AMZN,2026-07-13,2026-07-13T14:35:00+00:00,middle,0.4512986697502137,-0.05647877964309611,true,true,true,82,82,3,155.581165,0.05237899355546413,1.0,
AMZN:2026-07-13T14:40:00+00:00,AMZN,2026-07-13,2026-07-13T14:40:00+00:00,middle,0.42008215890271966,-0.0372377708584517,true,true,true,84,84,3,150.7134035,0.06433810848720364,1.0,
AMZN:2026-07-13T14:45:00+00:00,AMZN,2026-07-13,2026-07-13T14:45:00+00:00,middle,0.4134073340925128,-0.025429124514698864,true,true,true,84,84,3,170.95101599999998,0.0450283010898032,1.0,
AMZN:2026-07-13T14:50:00+00:00,AMZN,2026-07-13,2026-07-13T14:50:00+00:00,middle,0.43704008673166483,-0.014478188837721895,true,true,true,119,119,3,120.068932,0.045307443365695865,1.0,
AMZN:2026-07-13T14:55:00+00:00,AMZN,2026-07-13,2026-07-13T14:55:00+00:00,middle,0.44762426765210933,-0.02236749529523402,true,true,true,142,142,3,166.251616,0.058006460870733134,1.0,
AMZN:2026-07-13T15:00:00+00:00,AMZN,2026-07-13,2026-07-13T15:00:00+00:00,middle,0.448424497101076,-0.02560734236693374,true,true,true,114,114,3,144.476629,0.04319033969021843,1.0,
AMZN:2026-07-13T15:05:00+00:00,AMZN,2026-07-13,2026-07-13T15:05:00+00:00,middle,0.4467059092714042,-0.029265576708376484,true,true,true,160,160,3,117.4339545,0.051021736300924166,0.9937888198757764,
AMZN:2026-07-13T15:10:00+00:00,AMZN,2026-07-13,2026-07-13T15:10:00+00:00,middle,0.45886264667102694,-0.03069228810153901,true,true,true,140,140,3,142.18185549999998,0.05033853931569917,1.0,
AMZN:2026-07-13T15:15:00+00:00,AMZN,2026-07-13,2026-07-13T15:15:00+00:00,middle,0.4318340690865741,-0.04828079569318905,true,true,true,122,122,3,174.553004,0.045122985581000884,1.0,
AMZN:2026-07-13T15:20:00+00:00,AMZN,2026-07-13,2026-07-13T15:20:00+00:00,middle,0.4477742850624249,-0.03919831624461706,true,true,true,100,100,3,144.17894,0.038339049485546284,1.0,
AMZN:2026-07-13T15:25:00+00:00,AMZN,2026-07-13,2026-07-13T15:25:00+00:00,middle,0.44034091679335385,-0.023117880369976085,true,true,true,78,78,3,159.29031750000001,0.030557534400659888,1.0,
AMZN:2026-07-13T15:30:00+00:00,AMZN,2026-07-13,2026-07-13T15:30:00+00:00,middle,0.42834980576727544,-0.011299436514698002,true,true,true,78,78,3,127.575336,0.045940123972391965,1.0,
AMZN:2026-07-13T15:35:00+00:00,AMZN,2026-07-13,2026-07-13T15:35:00+00:00,middle,0.4362640530383475,-0.009403971937030575,true,true,true,90,90,3,167.2953655,0.04340318656306413,1.0,
AMZN:2026-07-13T15:40:00+00:00,AMZN,2026-07-13,2026-07-13T15:40:00+00:00,middle,0.45188462054406864,-0.0068279342108518715,true,true,true,85,85,3,125.670873,0.052910052910052914,1.0,
AMZN:2026-07-13T15:45:00+00:00,AMZN,2026-07-13,2026-07-13T15:45:00+00:00,middle,0.4324456498725563,-0.023006829488389113,true,true,true,117,117,3,124.323648,0.039927404718693243,1.0,
AMZN:2026-07-13T15:50:00+00:00,AMZN,2026-07-13,2026-07-13T15:50:00+00:00,middle,0.4417832185232975,-0.034397908126100774,true,true,true,93,93,3,125.303302,0.03305785123966945,1.0,
AMZN:2026-07-13T15:55:00+00:00,AMZN,2026-07-13,2026-07-13T15:55:00+00:00,middle,0.4385516043415107,-0.031980195205941864,true,true,true,111,111,3,133.000296,0.0416666666666667,1.0,
AMZN:2026-07-13T16:00:00+00:00,AMZN,2026-07-13,2026-07-13T16:00:00+00:00,middle,0.4402186155373156,-0.025861034585520637,true,true,true,78,78,3,167.2461225,0.047809523809523885,1.0,
AMZN:2026-07-13T16:05:00+00:00,AMZN,2026-07-13,2026-07-13T16:05:00+00:00,middle,0.4411108968911469,-0.04314071567319333,true,true,true,82,82,3,130.246668,0.045983086680761134,1.0,
AMZN:2026-07-13T16:10:00+00:00,AMZN,2026-07-13,2026-07-13T16:10:00+00:00,middle,0.43672297145843136,-0.03475032051785287,true,true,true,73,73,3,140.05721,0.04651162790697672,1.0,
AMZN:2026-07-13T16:15:00+00:00,AMZN,2026-07-13,2026-07-13T16:15:00+00:00,middle,0.4356719368902818,-0.02006239787827435,true,true,true,62,62,3,161.9262375,0.028819401187658335,1.0,
AMZN:2026-07-13T16:20:00+00:00,AMZN,2026-07-13,2026-07-13T16:20:00+00:00,middle,0.44061912141720205,-0.030062341638058543,true,true,true,72,72,3,159.22401200000002,0.03732908977190856,1.0,
AMZN:2026-07-13T16:25:00+00:00,AMZN,2026-07-13,2026-07-13T16:25:00+00:00,middle,0.44215487203559284,-0.01756474024429916,true,true,true,72,72,3,121.38316449999999,0.0308534263959391,1.0,
AMZN:2026-07-13T16:30:00+00:00,AMZN,2026-07-13,2026-07-13T16:30:00+00:00,middle,0.4366630129230693,-0.03092433638782044,true,true,true,71,71,3,144.001762,0.04494382022471914,1.0,
AMZN:2026-07-13T16:35:00+00:00,AMZN,2026-07-13,2026-07-13T16:35:00+00:00,middle,0.42873928479008383,-0.030058020302176414,true,true,true,91,91,3,171.735884,0.02803738317757012,1.0,
AMZN:2026-07-13T16:40:00+00:00,AMZN,2026-07-13,2026-07-13T16:40:00+00:00,middle,0.43304437840957943,-0.01957736517842118,true,true,true,103,103,3,154.835489,0.026431718061674072,0.9903846153846154,
AMZN:2026-07-13T16:45:00+00:00,AMZN,2026-07-13,2026-07-13T16:45:00+00:00,middle,0.4458241332341135,-0.02477526169228561,true,true,true,73,73,3,153.720972,0.04301075268817208,1.0,
AMZN:2026-07-13T16:50:00+00:00,AMZN,2026-07-13,2026-07-13T16:50:00+00:00,middle,0.4601723094664217,-0.006861610828414522,true,true,true,88,88,3,118.11635100000001,0.043636940653760656,1.0,
AMZN:2026-07-13T16:55:00+00:00,AMZN,2026-07-13,2026-07-13T16:55:00+00:00,middle,0.45419023950156573,-0.031194382627546813,true,true,true,96,96,3,191.72747950000002,0.027050049908805364,1.0,
AMZN:2026-07-13T17:00:00+00:00,AMZN,2026-07-13,2026-07-13T17:00:00+00:00,middle,0.43862255248105525,-0.02911228104325403,true,true,true,72,72,3,179.951478,0.033900739783092756,1.0,
AMZN:2026-07-13T17:05:00+00:00,AMZN,2026-07-13,2026-07-13T17:05:00+00:00,middle,0.42124094747120144,-0.03175760915512588,true,true,true,64,64,3,143.804292,0.04325456043833659,1.0,
AMZN:2026-07-13T17:10:00+00:00,AMZN,2026-07-13,2026-07-13T17:10:00+00:00,middle,0.42618658600295717,-0.018448378926366416,true,true,true,56,56,3,146.153995,0.03131881575727921,1.0,
AMZN:2026-07-13T17:15:00+00:00,AMZN,2026-07-13,2026-07-13T17:15:00+00:00,middle,0.42240841596434264,-0.015169900601998076,true,true,true,70,70,3,171.53094249999998,0.0358170770706748,0.9459459459459459,
AMZN:2026-07-13T17:20:00+00:00,AMZN,2026-07-13,2026-07-13T17:20:00+00:00,middle,0.4477618239688687,-0.026805581751786156,true,true,true,80,80,3,129.299928,0.03236788351751954,0.9876543209876543,
AMZN:2026-07-13T17:25:00+00:00,AMZN,2026-07-13,2026-07-13T17:25:00+00:00,middle,0.4434430585367122,-0.029675135041877576,true,true,true,75,75,3,151.315022,0.03252032520325206,0.9868421052631579,
AMZN:2026-07-13T17:30:00+00:00,AMZN,2026-07-13,2026-07-13T17:30:00+00:00,middle,0.42694093851107356,-0.03633438814175133,true,true,true,88,88,3,189.5204035,0.039669529866893954,0.9887640449438202,
AMZN:2026-07-13T17:35:00+00:00,AMZN,2026-07-13,2026-07-13T17:35:00+00:00,middle,0.4467243680811413,-0.020774300711929816,true,true,true,69,69,3,122.612742,0.03448275862068968,0.9857142857142858,
AMZN:2026-07-13T17:40:00+00:00,AMZN,2026-07-13,2026-07-13T17:40:00+00:00,middle,0.4404718234682604,-0.006459726591393433,true,true,true,60,60,3,138.498526,0.041966250917094675,0.967741935483871,
AMZN:2026-07-13T17:45:00+00:00,AMZN,2026-07-13,2026-07-13T17:45:00+00:00,middle,0.4431553357980549,-0.022604423710830546,true,true,true,72,72,3,159.1830535,0.041966250917094675,0.972972972972973,
AMZN:2026-07-13T17:50:00+00:00,AMZN,2026-07-13,2026-07-13T17:50:00+00:00,middle,0.42930262307634953,-0.022149081568717865,true,true,true,69,69,3,179.966048,0.03726708074534148,0.9857142857142858,
AMZN:2026-07-13T17:55:00+00:00,AMZN,2026-07-13,2026-07-13T17:55:00+00:00,middle,0.4236773613449186,-0.027052531196281315,true,true,true,79,79,3,150.213798,0.05217391304347812,0.9875,
AMZN:2026-07-13T18:00:00+00:00,AMZN,2026-07-13,2026-07-13T18:00:00+00:00,middle,0.421099870755814,-0.02472657215782259,true,true,true,78,78,3,127.25178600000001,0.030974815830049608,1.0,
AMZN:2026-07-13T18:05:00+00:00,AMZN,2026-07-13,2026-07-13T18:05:00+00:00,middle,0.44119909312132377,-0.015251186420053076,true,true,true,60,60,3,130.733319,0.033200165312026506,0.967741935483871,
AMZN:2026-07-13T18:10:00+00:00,AMZN,2026-07-13,2026-07-13T18:10:00+00:00,middle,0.4355389999325685,-0.035713568637676496,true,true,true,60,60,3,223.9153995,0.03653653653653654,0.967741935483871,
AMZN:2026-07-13T18:15:00+00:00,AMZN,2026-07-13,2026-07-13T18:15:00+00:00,middle,0.43241320260054616,-0.0012305376452803607,true,true,true,57,57,3,98.310074,0.033271719038816955,0.9827586206896551,
