block_id,model_name,group_type,group,estimate,ci_low,ci_high,p_value_two_sided,clusters,observations,repetitions,seed
block_a_2024_08_02_2024_09_13,gamma_glm,asset,AAPL,0.10027910657830255,0.0378563530954587,0.17701838982116203,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,AMZN,0.044834822117045245,-0.0016795659863405087,0.10295211904992588,0.06596701649175413,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,META,0.01224049957258574,-0.00047264671978806635,0.025398075594055814,0.05997001499250375,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,MSFT,-0.023264818871972254,-0.05261604009967977,0.007587993040748339,0.14992503748125938,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,NVDA,0.3184113894950571,0.21908512287430768,0.4291325241615344,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,asset,TSLA,0.018092940231615586,-0.0017142461279023443,0.04614090510143165,0.08695652173913043,30,1980,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,first,0.06047904119374042,0.016952255697386617,0.1211319787298066,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,last,0.13540925525930428,0.08089255179961923,0.19775316084458883,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,session_tercile,middle,0.04841413081877228,0.0327610303438208,0.0638510875821407,0.0009995002498750624,30,4680,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,high,0.14905269395623713,0.09993734136878431,0.19536902917402046,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,low,0.018821877846223828,-0.00043847841242982734,0.03611999569730308,0.054972513743128434,28,2526,2000,650
block_a_2024_08_02_2024_09_13,gamma_glm,volatility_regime,normal,0.00812786299647245,-0.01144669635064355,0.028450693206323027,0.4367816091954023,30,3619,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,AAPL,-0.005012527314373682,-0.02123218141432996,0.00785262698697641,0.5237381309345327,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,AMZN,-0.06496815619590046,-0.09277211764648663,-0.04053384623510662,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,META,-0.04785017263323972,-0.08979692353268118,-0.01754348320921311,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,MSFT,-0.006734055862981496,-0.017380111244063537,0.002346230182900585,0.1549225387306347,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,NVDA,-0.0036442666829121584,-0.010133246410612086,0.003010480094034787,0.28385807096451776,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,asset,TSLA,-0.018873247122534874,-0.031061769587326427,-0.008604785480543579,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,first,-0.03374774427432972,-0.05190776661499411,-0.017629619080865754,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,last,-0.028005475918575128,-0.05490455515664666,-0.007127986340063019,0.0029985007496251873,30,3600,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,session_tercile,middle,-0.014724703079741134,-0.02629168936225551,-0.005546785649369368,0.0009995002498750624,30,4680,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,high,-0.04215985850909433,-0.06839771956775585,-0.017991076085008533,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,low,0.0008567153927729941,-0.007161626830389067,0.009916384101516396,0.8375812093953023,28,2526,2000,650
block_a_2024_08_02_2024_09_13,lightgbm,volatility_regime,normal,-0.01425821432443618,-0.02047934031841146,-0.008671954039592786,0.0009995002498750624,30,3619,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,AAPL,0.12556330892208376,0.04198526550198898,0.22707070089686823,0.0029985007496251873,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,AMZN,0.03433514522076716,-0.029242661478827637,0.11761658598313719,0.384807596201899,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,META,-0.04140829086292443,-0.07087067783410508,-0.017389533903831,0.001999000499750125,30,1980,2000,650
block_a_2024_08_02_2024_09_13,har_rv,asset,MSFT,-0.08547385144101444,-0.12871634346774838,-0.04114581854238792,0.001999000499750125,30,1980,2000,650
