block_id,model_name,information_set,observations,mean_forecast_to_actual,median_forecast_to_actual
block_a_2024_08_02_2024_09_13,elastic_net,B0,11880,149.7619782875681,0.9196629086795064
block_a_2024_08_02_2024_09_13,elastic_net,B1a,11880,153.235424529977,0.8801346770216116
block_a_2024_08_02_2024_09_13,elastic_net,B2,11880,115.24431774298024,0.9484791412530181
block_a_2024_08_02_2024_09_13,gamma_glm,B0,11880,195718597.26363632,0.9347251602579723
block_a_2024_08_02_2024_09_13,gamma_glm,B1a,11880,110572462.5872606,0.8851629222352893
block_a_2024_08_02_2024_09_13,gamma_glm,B2,11880,14460.390108635667,0.9887242123777835
block_a_2024_08_02_2024_09_13,har_rv,B0,11880,116.60780921232409,0.8186021785383162
block_a_2024_08_02_2024_09_13,har_rv,B1a,11880,128.24666351601792,0.7775322935906697
block_a_2024_08_02_2024_09_13,har_rv,B2,11880,39.46204448201071,0.8082141098474106
block_a_2024_08_02_2024_09_13,lightgbm,B0,11880,1.1591079493334189,0.9462340087561121
block_a_2024_08_02_2024_09_13,lightgbm,B1a,11880,1.1157819621299943,0.9895753228121342
block_a_2024_08_02_2024_09_13,lightgbm,B2,11880,1.0778845651608715,0.9470078649480758
block_a_2024_08_02_2024_09_13,ridge,B0,11880,116.86065401520587,0.8196305890846425
block_a_2024_08_02_2024_09_13,ridge,B1a,11880,128.28753817697634,0.7783211335603356
block_a_2024_08_02_2024_09_13,ridge,B2,11880,39.684992166651185,0.8101430100295044
block_b_2024_10_01_2024_11_11,elastic_net,B0,11880,2.428501142127544,1.3327810075797164
block_b_2024_10_01_2024_11_11,elastic_net,B1a,11880,2.396848476790631,1.438020396710005
block_b_2024_10_01_2024_11_11,elastic_net,B2,11880,2.0082590209223277,1.4695307333469063
block_b_2024_10_01_2024_11_11,gamma_glm,B0,11880,3.522715657369177,1.3763004535355456
block_b_2024_10_01_2024_11_11,gamma_glm,B1a,11880,3.248168106356729,1.4194921506823615
block_b_2024_10_01_2024_11_11,gamma_glm,B2,11880,1.863101376925369,1.4701140554813201
block_b_2024_10_01_2024_11_11,har_rv,B0,11880,1.8125006128557741,1.2356707712732389
block_b_2024_10_01_2024_11_11,har_rv,B1a,11880,1.8555684305268438,1.2894816965740667
block_b_2024_10_01_2024_11_11,har_rv,B2,11880,1.4963435391218833,1.2350319364404272
block_b_2024_10_01_2024_11_11,lightgbm,B0,11880,1.5613540226244618,1.3412826951231156
block_b_2024_10_01_2024_11_11,lightgbm,B1a,11880,1.5331457476462156,1.3773343357768355
block_b_2024_10_01_2024_11_11,lightgbm,B2,11880,1.5816453149743839,1.3953062518383856
block_b_2024_10_01_2024_11_11,ridge,B0,11880,1.8146527113365252,1.2369740627382169
block_b_2024_10_01_2024_11_11,ridge,B1a,11880,1.8577084430584991,1.290594067524442
block_b_2024_10_01_2024_11_11,ridge,B2,11880,1.4993956509017006,1.2378700185353653
