fmp_delay_minutes,uw_cutoff_seconds,origin_rows,strict_rows,retention_rate,b1q_coverage,b2_activity_coverage,median_target_rv30,row_ids_gained_vs_primary,row_ids_lost_vs_primary,material_change_over_5pct,material_asset_change_over_10pct
1,60,14200,9589,0.675281690140845,0.9095774647887324,1.0,0.000011220469782248161,0,0,false,false
1,120,14200,9589,0.675281690140845,0.9095774647887324,1.0,0.000011220469782248161,0,0,false,false
1,300,14200,9589,0.675281690140845,0.9095774647887324,0.0,0.000011220469782248161,0,0,false,false
2,60,14200,0,0.0,0.9095774647887324,1.0,0.000011220469782248161,0,9589,true,true
2,120,14200,0,0.0,0.9095774647887324,1.0,0.000011220469782248161,0,9589,true,true
2,300,14200,0,0.0,0.9095774647887324,0.0,0.000011220469782248161,0,9589,true,true
