asset,origin_id,contract,option_type,dte,moneyness,rate,dividend_yield,midpoint,quote_age_seconds,relative_spread,iv_success,failure_reason,iv
AAPL,AAPL:2026-06-11T18:15:00+00:00,O:AAPL260717P00285000,put,36,0.9635539928325108,0.0378,0.003604160230666255,4.325,66.671993197,0.03468208092485557,false,STALE_QUOTE,
AAPL,AAPL:2026-06-11T18:35:00+00:00,O:AAPL260918C00290000,call,99,0.9813210611802924,0.0378,0.003604160230666255,21.025,90.749023016,0.016646848989298354,false,STALE_QUOTE,
AAPL,AAPL:2026-06-12T15:25:00+00:00,O:AAPL260717P00295000,put,35,1.0075480719969943,0.0378,0.0035545023696682467,9.0,132.898479861,0.03333333333333341,false,STALE_QUOTE,
AAPL,AAPL:2026-06-12T16:40:00+00:00,O:AAPL260918P00295000,put,98,1.013397457918241,0.0378,0.0035545023696682467,16.15,64.004345304,0.0185758513931889,false,STALE_QUOTE,
AAPL,AAPL:2026-06-12T16:50:00+00:00,O:AAPL260717C00305000,call,35,1.0469227336697218,0.0378,0.0035545023696682467,3.5,122.894031523,0.0571428571428572,false,STALE_QUOTE,
AAPL,AAPL:2026-06-12T17:25:00+00:00,O:AAPL260717P00290000,put,35,0.9934909215484756,0.0378,0.0035545023696682467,6.975,94.5418676,0.03584229390681004,false,STALE_QUOTE,
AAPL,AAPL:2026-06-12T18:40:00+00:00,O:AAPL260717C00305000,call,35,1.0495887676795486,0.0378,0.0035545023696682467,3.2,93.636141166,0.03125000000000003,false,STALE_QUOTE,
AAPL,AAPL:2026-06-15T15:20:00+00:00,O:AAPL260717P00295000,put,32,0.9954445756706596,0.0379,0.003573859768550034,6.449999999999999,68.04236272,0.031007751937984527,false,STALE_QUOTE,
AAPL,AAPL:2026-06-15T16:35:00+00:00,O:AAPL260918P00295000,put,95,0.9925641802092797,0.0379,0.003573859768550034,12.8,70.932992599,0.015625000000000083,false,STALE_QUOTE,
AAPL,AAPL:2026-06-15T17:30:00+00:00,O:AAPL260918P00295000,put,95,0.9944043686374974,0.0379,0.003573859768550034,12.925,81.168972594,0.01934235976789168,false,STALE_QUOTE,
AAPL,AAPL:2026-06-15T18:45:00+00:00,O:AAPL260717P00285000,put,32,0.9621552277100707,0.0379,0.003573859768550034,3.2,62.368698843,0.06249999999999992,false,STALE_QUOTE,
AAPL,AAPL:2026-06-15T19:20:00+00:00,O:AAPL260717P00295000,put,32,0.9965542868725087,0.0379,0.003573859768550034,6.425,186.546895504,0.038910505836575876,false,STALE_QUOTE,
AAPL,AAPL:2026-06-16T15:50:00+00:00,O:AAPL260717C00305000,call,31,1.0221522168973491,0.0379,0.003544184162559914,4.925,133.95984243,0.030456852791878247,false,STALE_QUOTE,
