asset,availability_spec,rows,option_trade_count_5m_median,unique_contract_count_5m_median,total_premium_5m_median,max_trade_premium_5m_median,total_contract_size_5m_median,max_contract_size_5m_median,call_premium_5m_median,put_premium_5m_median,call_put_premium_imbalance_median,ask_side_premium_share_median,bid_side_premium_share_median,midpoint_premium_share_median,multileg_trade_share_median,sweep_or_equivalent_share_median,strike_concentration_median,expiry_concentration_median,median_days_to_expiry_median,median_absolute_moneyness_median,repeated_contract_trade_count_median,repeated_contract_premium_median,implied_volatility_median_median,median_implied_volatility_median,within_bin_iv_change_median,valid_trade_share_median,missing_iv_share_median,option_trade_count_5m_p95,unique_contract_count_5m_p95,total_premium_5m_p95,max_trade_premium_5m_p95,total_contract_size_5m_p95,max_contract_size_5m_p95,call_premium_5m_p95,put_premium_5m_p95,call_put_premium_imbalance_p95,ask_side_premium_share_p95,bid_side_premium_share_p95,midpoint_premium_share_p95,multileg_trade_share_p95,sweep_or_equivalent_share_p95,strike_concentration_p95,expiry_concentration_p95,median_days_to_expiry_p95,median_absolute_moneyness_p95,repeated_contract_trade_count_p95,repeated_contract_premium_p95,implied_volatility_median_p95,median_implied_volatility_p95,within_bin_iv_change_p95,valid_trade_share_p95,missing_iv_share_p95
MSFT,sensitivity_0s,1420,1508.0,345.0,4472554.0,292400.0,7435.5,300.0,2828704.5,1254681.5,1368959.0,0.4337501788422366,0.47518792673552457,0.980153364763287,0.0,0.0,0.15791594215191485,0.3683104004960954,4.0,0.024750196485620712,1329.0,3449868.5,0.3977863685132512,0.3977863685132512,1.784417488102529,1.0,0.0,5045.0,634.0,17581935.0,1994392.0,24972.0,1482.0,10446744.0,6857089.0,7199900.0,0.6154381397641586,0.6475948533443452,0.9962914859640306,0.0,0.0,0.2425367362722351,0.5035910435149978,17.0,0.05183666864447933,4795.0,14292456.0,0.50134788528403,0.50134788528403,8.753551019050033,1.0,0.0
MSFT,sensitivity_15s,1420,1437.5,334.0,4269379.5,277115.5,7049.0,294.0,2694519.5,1175815.5,1295214.0,0.4342076955583897,0.4749829653598191,0.9805934251100077,0.0,0.0,0.15830488107979585,0.36800423944833505,4.0,0.02465097711539599,1267.0,3261895.0,0.3978698670622772,0.3978698670622772,1.7776236941211176,1.0,0.0,4856.0,620.0,16415140.0,1895000.0,23823.0,1480.0,9989924.0,6306275.0,6678264.0,0.6143966500124151,0.6483531098848315,0.9963735865654616,0.0,0.0,0.24390243902439024,0.5042059648228396,17.0,0.051985050050965764,4610.0,13527347.0,0.500262413656311,0.500262413656311,8.486989033092193,1.0,0.0
NVDA,primary_60s,1420,3500.5,378.5,7812733.0,442500.0,25894.5,805.0,5063519.0,2312265.5,2547895.0,0.44104588477212947,0.4474728655113527,0.9885441265670926,0.0,0.0,0.2298099038425141,0.45378124394377606,2.0,0.02070481400267077,3341.5,6607044.5,0.43227461172049464,0.43227461172049464,9.533214281523634,1.0,0.0,11074.0,577.0,23860027.0,2960000.0,77011.0,4210.0,18363423.0,7629020.0,13726714.0,0.6070488270042403,0.6191220186065496,0.9974350766959316,0.0,0.0,0.342360248447205,0.60591381572308,4.0,0.0517197191040033,10862.0,22154007.0,0.5538713324297055,0.5538713324297055,34.807425627903996,1.0,0.0
NVDA,sensitivity_0s,1420,4351.5,422.0,9888205.0,509400.0,32247.0,950.0,6400278.0,2910324.0,3271470.5,0.4373461568762931,0.44621908200914895,0.9881115548579029,0.0,0.0,0.22995747111118103,0.45496344227308694,2.0,0.020943638647798857,4196.5,8443889.5,0.4319573853420808,0.4319573853420808,10.099881524235943,1.0,0.0,13445.0,630.0,28459224.0,3350000.0,94029.0,4810.0,21789845.0,9473335.0,16418886.0,0.5950200726499946,0.6066496731882601,0.9969984241175698,0.0,0.0,0.3387327298713673,0.6062557497700092,4.0,0.05119960425426662,13260.0,26274980.0,0.554406609319657,0.554406609319657,35.60023057636158,1.0,0.0
NVDA,sensitivity_15s,1420,4130.5,411.0,9370532.0,499818.0,30759.5,928.0,6088044.5,2758251.5,3094815.0,0.4395320468866398,0.4486689256956832,0.9882079347349255,0.0,0.0,0.2302265225002434,0.4559235087184462,2.0,0.020865445924043158,3971.5,7986795.0,0.4322760492119878,0.4322760492119878,9.982487528280235,1.0,0.0,12978.0,622.0,27434377.0,3190000.0,91158.0,4510.0,21305867.0,9268638.0,15815533.0,0.6034957354418949,0.609342645030581,0.9971227824846989,0.0,0.0,0.34096692111959287,0.6049689440993788,4.0,0.0517197191040033,12757.0,25384096.0,0.55467008709313,0.55467008709313,35.554311442909565,1.0,0.0
QQQ,primary_60s,1420,11222.5,775.0,21301078.5,695750.0,75228.0,999.0,10249423.0,10064996.5,397902.5,0.4473990852388059,0.4499364621333274,0.9867244517113758,0.0,0.0,0.16193418856769914,0.7068382918149012,0.0,0.003308462188014727,10902.5,18420899.0,0.3312721124670902,0.3312721124670902,5.7065167655733,1.0,0.0,27438.0,1313.0,57712574.0,6788000.0,150738.0,5000.0,33431881.0,28650524.0,15945483.0,0.5476920751405169,0.5362104812194484,0.9956677965698364,0.0,0.0,0.24869169510807737,0.7661365762394762,0.0,0.006528092649749961,26998.0,52689028.0,0.558329242897927,0.558329242897927,17.710130188616684,1.0,0.00008785030308354564
QQQ,sensitivity_0s,1420,13822.5,864.0,26268558.0,856504.5,92294.5,1000.0,12806576.0,12464432.5,409175.0,0.4466090264793237,0.4491413763149098,0.9865353126508491,0.0,0.0,0.16059387235857825,0.7066624628265772,0.0,0.003317392824086274,13432.5,23013979.5,0.3313901383034432,0.3313901383034432,6.535818998940952,1.0,0.0,32922.0,1436.0,69860525.0,7664000.0,185529.0,5000.0,39986555.0,35078960.0,20371477.0,0.5363307675605263,0.5313242595292361,0.9951771267545099,0.0,0.0,0.2478540772532189,0.7651492709259077,0.0,0.006490721413662026,32471.0,65559044.0,0.55679466976306,0.55679466976306,17.880453415438563,1.0,0.00008654262224145392
QQQ,sensitivity_15s,1420,13181.5,844.5,25208208.5,827156.0,88021.0,1000.0,12262412.5,11905694.5,351870.0,0.44734134523782076,0.44879948944146886,0.9866921291401294,0.0,0.0,0.16056242012929842,0.7065670192089533,0.0,0.0033219412470980036,12799.5,21816744.5,0.3313290617034337,0.3313290617034337,6.360312137875915,1.0,0.0,31633.0,1414.0,66812315.0,7475000.0,177670.0,5000.0,38313864.0,33806145.0,19234701.0,0.5404404149664273,0.5327243312134131,0.9953752566341362,0.0,0.0,0.24646290096122692,0.7661044590360929,0.0,0.006490721413662026,31190.0,62674473.0,0.5578964547353935,0.5578964547353935,17.83454299384615,1.0,0.00008620689655172413
SPY,primary_60s,1420,15479.5,749.5,18580067.0,393447.0,122511.5,1089.5,8884530.0,8751290.5,157760.5,0.4552634279186309,0.4629699921722056,0.993427474380046,0.0,0.0,0.20335315251239616,0.7271436708456747,0.0,0.002114666167639334,15166.5,16747716.5,0.2091555003105878,0.2091555003105878,1.90371338505037,1.0,0.0,37163.0,1277.0,58268087.0,5123921.0,248881.0,5000.0,29713362.0,28695649.0,12606641.0,0.5348597905189849,0.5481994187124023,0.9977358897749625,0.0,0.0,0.2872452565003514,0.7790151992715556,0.0,0.0043218769294093295,36636.0,52538865.0,0.38324807636412916,0.38324807636412916,8.027263744493359,1.0,0.00010992030777686178
SPY,sensitivity_0s,1420,18882.0,843.5,22939910.5,459689.5,150076.0,1320.5,11028410.0,10806585.0,131046.0,0.45215709801615545,0.46399924822683325,0.9932959621263207,0.0,0.0,0.20268782072706382,0.7261797548451122,0.0,0.0021009709792626508,18539.5,21017867.5,0.20915245806257365,0.20915245806257365,2.038701434601616,1.0,0.0,44623.0,1394.0,70216378.0,6345000.0,296736.0,6983.0,34348463.0,35616648.0,14301493.0,0.5352452677182107,0.5455999021633802,0.9977277734047897,0.0,0.0,0.28515705194005336,0.777349412454122,0.0,0.004309704265121228,44185.0,66225015.0,0.38351372185554095,0.38351372185554095,8.495761835700428,1.0,0.00010392849719393057
SPY,sensitivity_15s,1420,18057.0,822.5,22072765.0,442146.0,144359.0,1266.5,10509809.5,10320961.5,156362.0,0.4538081657971713,0.46309096699513347,0.9933300657782969,0.0,0.0,0.2025290530349219,0.72626250537645,0.0,0.002099217853695212,17728.0,19894314.5,0.2091985125259152,0.2091985125259152,2.013091727383185,1.0,0.0,42875.0,1371.0,67734007.0,6123600.0,287800.0,6400.0,33332706.0,34488429.0,14161684.0,0.5366466866381793,0.5476579131948086,0.9976811428935897,0.0,0.0,0.28642876453095434,0.7780432246235902,0.0,0.004309704265121228,42432.0,63055834.0,0.3836556120370022,0.3836556120370022,8.368667428461519,1.0,0.00010580890911014708
TSLA,primary_60s,1420,5541.5,471.0,13080767.0,423587.5,26331.5,500.0,7380649.0,5295639.5,1967672.5,0.4548100475074089,0.4548463476317375,0.9935983929409975,0.0,0.0,0.17377739196591083,0.6065628699313479,0.0,0.014387157529675898,5346.5,11389384.0,0.6266268841143883,0.6266268841143883,5.450551787203107,1.0,0.0,16911.0,824.0,38383984.0,2700000.0,70995.0,2000.0,24766608.0,17051619.0,15517605.0,0.5630789020394307,0.5506755198520943,0.9981725800568181,0.0,0.0,0.2737248526722211,0.7041343669250646,2.0,0.028572870917259907,16556.0,35678043.0,0.935304587574537,0.935304587574537,19.517034748630337,1.0,0.0
TSLA,sensitivity_0s,1420,6802.5,528.0,16245327.5,489527.5,32501.5,516.5,9149339.5,6609746.5,2414067.0,0.4542255249831697,0.45419446860894463,0.9935490036435313,0.0,0.0,0.17318806826271632,0.606014332315858,0.0,0.014450681842513913,6595.5,14439918.5,0.62605192488092,0.62605192488092,5.975736800075087,1.0,0.0,20393.0,901.0,47758043.0,3280500.0,86857.0,2485.0,29558401.0,20512132.0,18054957.0,0.5601526500177659,0.5491751456701883,0.9979768616984,0.0,0.0,0.2746313672922252,0.7000808407437349,1.0,0.028833551769331667,20137.0,44644164.0,0.9381620006124209,0.9381620006124209,20.175141434052218,1.0,0.0
TSLA,sensitivity_15s,1420,6502.0,514.0,15419981.0,478493.0,31203.5,501.0,8717355.0,6322347.5,2361863.0,0.4533561003900609,0.45516543504125995,0.9936649366152368,0.0,0.0,0.1737660653749885,0.606127750913215,0.0,0.014429939258646773,6284.5,13771754.0,0.625891520200152,0.625891520200152,5.899008195715712,1.0,0.0,19377.0,886.0,45881463.0,3216780.0,81989.0,2361.0,28353628.0,19723650.0,17127656.0,0.5613711644653852,0.5501565303261458,0.9980255049728134,0.0,0.0,0.27382492453643814,0.699667221297837,1.0,0.028696980252404747,19069.0,42333005.0,0.9360947645313984,0.9360947645313984,20.080730724031987,1.0,0.0
