asset,origins,median,p90,p95,p975,max
AAPL,1420,0.45494931070094613,1.6008404539126528,2.0285790125880445,2.4007372386751236,5.995251222884545
AMZN,1420,0.5220157035481761,1.6578763993937835,2.073247303865352,2.575201841680808,7.869579190147774
META,1420,0.4196208574977228,1.9079671478951585,2.535243660236844,3.1788525958979377,6.766790729782854
MSFT,1420,0.4020376609194621,1.432356098678098,1.8695485578451563,2.416245297743337,6.72856696823116
NVDA,1420,0.4685303256241019,1.702941353439003,2.189671300028556,2.743500943801246,5.462172405381787
QQQ,1420,0.4884794627641247,1.5878770509247635,2.076962600407052,2.403459498810684,4.170408955406871
SPY,1420,0.5170685379094491,1.785550747862369,2.339752520392754,2.8262173058246445,5.0856327833236765
TSLA,1420,0.47117566787967163,1.5800783759071164,1.9748559058135422,2.3138658086314554,5.441524584557419
