provider,asset,session_date,time_of_day,rejection_reason,rows,passes
FMP,NVDA,2026-07-17,last,NONE,20,20
FMP,NVDA,2026-07-17,middle,NONE,26,26
FMP,QQQ,2026-06-11,first,B0_INVALID,6,0
FMP,QQQ,2026-06-11,first,NONE,19,19
FMP,QQQ,2026-06-11,last,NONE,20,20
FMP,QQQ,2026-06-11,middle,NONE,26,26
FMP,QQQ,2026-06-12,first,B0_INVALID,6,0
FMP,QQQ,2026-06-12,first,NONE,19,19
FMP,QQQ,2026-06-12,last,NONE,20,20
FMP,QQQ,2026-06-12,middle,NONE,26,26
FMP,QQQ,2026-06-15,first,B0_INVALID,6,0
FMP,QQQ,2026-06-15,first,NONE,19,19
FMP,QQQ,2026-06-15,last,NONE,20,20
FMP,QQQ,2026-06-15,middle,NONE,26,26
FMP,QQQ,2026-06-16,first,B0_INVALID,6,0
FMP,QQQ,2026-06-16,first,NONE,19,19
FMP,QQQ,2026-06-16,last,NONE,20,20
FMP,QQQ,2026-06-16,middle,NONE,26,26
FMP,QQQ,2026-06-17,first,B0_INVALID,6,0
FMP,QQQ,2026-06-17,first,NONE,19,19
FMP,QQQ,2026-06-17,last,NONE,20,20
FMP,QQQ,2026-06-17,middle,NONE,26,26
FMP,QQQ,2026-06-18,first,B0_INVALID,6,0
FMP,QQQ,2026-06-18,first,NONE,19,19
FMP,QQQ,2026-06-18,last,NONE,20,20
FMP,QQQ,2026-06-18,middle,NONE,26,26
FMP,QQQ,2026-06-22,first,B0_INVALID,6,0
FMP,QQQ,2026-06-22,first,NONE,19,19
FMP,QQQ,2026-06-22,last,NONE,20,20
FMP,QQQ,2026-06-22,middle,NONE,26,26
FMP,QQQ,2026-06-23,first,B0_INVALID,6,0
FMP,QQQ,2026-06-23,first,NONE,19,19
FMP,QQQ,2026-06-23,last,NONE,20,20
FMP,QQQ,2026-06-23,middle,NONE,26,26
FMP,QQQ,2026-06-24,first,B0_INVALID,6,0
FMP,QQQ,2026-06-24,first,NONE,19,19
FMP,QQQ,2026-06-24,last,NONE,20,20
FMP,QQQ,2026-06-24,middle,NONE,26,26
FMP,QQQ,2026-06-25,first,B0_INVALID,6,0
FMP,QQQ,2026-06-25,first,NONE,19,19
FMP,QQQ,2026-06-25,last,NONE,20,20
FMP,QQQ,2026-06-25,middle,NONE,26,26
FMP,QQQ,2026-06-26,first,B0_INVALID,6,0
FMP,QQQ,2026-06-26,first,NONE,19,19
FMP,QQQ,2026-06-26,last,NONE,20,20
FMP,QQQ,2026-06-26,middle,NONE,26,26
FMP,QQQ,2026-06-29,first,B0_INVALID,6,0
FMP,QQQ,2026-06-29,first,NONE,19,19
FMP,QQQ,2026-06-29,last,NONE,20,20
