model_name,information_set,mechanism_id,b2_variant,variant_type,observations,actual_mean,forecast_mean,forecast_to_actual_ratio,mean_signed_error,qlike,mae,rmse
har_rv,B2_residual,asset_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000025069918426787164,1.3623327557360356,-6.667719462377408e-6,1215363.6165876652,0.00001883172935970865,0.00043383663843444165
lightgbm,B0,direct,primary,direct,15548,0.000018402198964409755,0.00001607136808295695,0.8733395456727382,2.330830881452806e-6,0.21025663701900685,7.625784069681762e-6,0.000018637237687316516
gamma_glm,B2_residual,regime_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00015994816704689897,8.691796418256434,-0.00014154596808248923,6968298.802443822,0.00016180377832725965,0.012243126968641181
ridge,B2_residual,global_ridge,primary,residual,15548,0.000018402198964409755,0.000021718957717639017,1.1802370879504098,-3.3167587532292604e-6,1070994.0142586487,0.00001867848667236253,0.00043419323591230633
lightgbm,B2_residual,asset_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00001826428771257721,0.9925057189035251,1.379112518325477e-7,0.2066004169816255,8.253126080646981e-6,0.00001855170252174195
gamma_glm,B2_residual,global_ridge,primary,residual,15548,0.000018402198964409755,0.00017759381682752533,9.650684528028176,-0.00015919161786311556,6619236.202466116,0.00018125523860697967,0.012345934997632698
har_rv,B1,baseline,placebo_target_permuted,baseline,15548,0.000018402198964409755,0.000019990043991477423,1.0862856134823122,-1.5878450270676684e-6,0.2951572408691043,0.000014235970081397749,0.0004335702393510233
elastic_net,B2_residual,asset_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00002617505688085994,1.4223874511672794,-7.772857916450181e-6,1580874.6243212952,0.000020723319100937126,0.0004310082930294254
elastic_net,B2_residual,global_ridge,primary,residual,15548,0.000018402198964409755,0.00002125116159971708,1.1548164238859324,-2.8489626353073246e-6,1652383.0864579063,0.000020415285024527513,0.00043059333115399626
lightgbm,B2_residual,regime_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00001827318007139884,0.9929889415248451,1.290188930109132e-7,0.2033363571460896,8.231413518164907e-6,0.000018537521096775893
