session_segment,origins,b1a,b1b,b1c
first,120,0.65,0.5416666666666666,0.43333333333333335
last,240,1.0,0.6458333333333334,0.6458333333333334
middle,2480,0.905241935483871,0.5108870967741935,0.4798387096774194
