asset,origins,b1a,b1b,b1c
AAPL,355,0.9352112676056338,0.447887323943662,0.447887323943662
AMZN,355,1.0,0.6253521126760564,0.6225352112676056
META,355,1.0,0.7380281690140845,0.7323943661971831
MSFT,355,1.0,0.5887323943661972,0.5859154929577465
NVDA,355,0.9070422535211268,0.16619718309859155,0.07887323943661972
QQQ,355,0.8591549295774648,0.6450704225352113,0.5661971830985916
SPY,355,0.5295774647887324,0.29295774647887324,0.23943661971830985
TSLA,355,0.9887323943661972,0.6845070422535211,0.6619718309859155
