block_id,model_name,information_set,observations,qlike,mae,rmse
block_a_2024_08_02_2024_09_13,gamma_glm,B0,11880,0.39547734385251354,207130.81262920675,22204770.796976134
block_a_2024_08_02_2024_09_13,gamma_glm,B1a,11880,0.3110573490715444,116922.93575787677,12495830.02569368
block_a_2024_08_02_2024_09_13,gamma_glm,B2,11880,0.23441693328244836,12.658474719729167,1197.6842516854115
block_a_2024_08_02_2024_09_13,lightgbm,B0,11880,0.25143713551233954,0.000012239053227277553,0.000032729211657271494
block_a_2024_08_02_2024_09_13,lightgbm,B1a,11880,0.1745459200748251,0.000010839356104428186,0.00003054366912959079
block_a_2024_08_02_2024_09_13,lightgbm,B2,11880,0.19862356849684834,0.000011242369650544712,0.00003079894627044709
block_a_2024_08_02_2024_09_13,har_rv,B0,11880,0.44997909086036936,0.07157332949488153,3.116746369275888
block_a_2024_08_02_2024_09_13,har_rv,B1a,11880,0.3636233421811699,0.07777299540444163,3.342176329654825
block_a_2024_08_02_2024_09_13,har_rv,B2,11880,0.3092115817850969,0.03189905396940918,2.0092725146804664
block_a_2024_08_02_2024_09_13,ridge,B0,11880,0.44902771066786995,0.07170262505013848,3.1211755803536265
block_a_2024_08_02_2024_09_13,ridge,B1a,11880,0.3629382785005179,0.0777879337566127,3.342250790406847
block_a_2024_08_02_2024_09_13,ridge,B2,11880,0.3083175890668129,0.03201730519108023,2.012330467411281
block_a_2024_08_02_2024_09_13,elastic_net,B0,11880,0.33959466103649877,0.08562149309807768,3.428223877739683
block_a_2024_08_02_2024_09_13,elastic_net,B1a,11880,0.31206405684232286,0.08723356524244075,3.4905662914145497
block_a_2024_08_02_2024_09_13,elastic_net,B2,11880,0.29671526371316254,0.073246175828379,3.181134552157508
block_b_2024_10_01_2024_11_11,gamma_glm,B0,11880,0.24991316193843574,0.0006267346548110078,0.04359969704806124
block_b_2024_10_01_2024_11_11,gamma_glm,B1a,11880,0.2208985379497998,0.0005146037947038031,0.035249315603073435
block_b_2024_10_01_2024_11_11,gamma_glm,B2,11880,0.188012459714495,0.00003924545763515479,0.0017494501364234054
block_b_2024_10_01_2024_11_11,lightgbm,B0,11880,0.1869934299860601,5.874082469885496e-6,0.0000174176990474614
block_b_2024_10_01_2024_11_11,lightgbm,B1a,11880,0.15036250737063456,5.8111154153559095e-6,0.00001667070026184599
block_b_2024_10_01_2024_11_11,lightgbm,B2,11880,0.15863418165878926,5.963481733722481e-6,0.000016204812666192945
block_b_2024_10_01_2024_11_11,har_rv,B0,11880,0.22950095857721117,0.00011027562684132517,0.007023138952850078
block_b_2024_10_01_2024_11_11,har_rv,B1a,11880,0.1980663597053115,0.00010996421268411349,0.006917029960463453
block_b_2024_10_01_2024_11_11,har_rv,B2,11880,0.15917501197504796,0.00001874214960705171,0.0006320830373180654
block_b_2024_10_01_2024_11_11,ridge,B0,11880,0.22932307509828515,0.00011063647773218892,0.007047693261504371
block_b_2024_10_01_2024_11_11,ridge,B1a,11880,0.19804759216315504,0.00011026409274459224,0.006936722791414563
block_b_2024_10_01_2024_11_11,ridge,B2,11880,0.15934013281784998,0.000018853071248437763,0.0006372111461592063
block_b_2024_10_01_2024_11_11,elastic_net,B0,11880,0.207010748588997,0.00027540842310001205,0.01845568807643111
block_b_2024_10_01_2024_11_11,elastic_net,B1a,11880,0.20447971934433373,0.00022784989671310554,0.014760477984830395
block_b_2024_10_01_2024_11_11,elastic_net,B2,11880,0.20338143432254996,0.00007578749102856763,0.003925034229479063
