block_id,model_name,information_set,observations,mean_forecast_to_actual,median_forecast_to_actual
block_a_2024_08_02_2024_09_13,elastic_net,B0,11880,149.7619782875681,0.9196629086795064
block_a_2024_08_02_2024_09_13,elastic_net,B1a,11880,153.235424529977,0.8801346770216116
block_a_2024_08_02_2024_09_13,elastic_net,B2,11880,119.38689187574548,0.9525118299502823
block_a_2024_08_02_2024_09_13,gamma_glm,B0,11880,195718597.26363632,0.9347251602579723
block_a_2024_08_02_2024_09_13,gamma_glm,B1a,11880,110572462.5872606,0.8851629222352893
block_a_2024_08_02_2024_09_13,gamma_glm,B2,11880,12291.27784335167,0.9934395937483341
block_a_2024_08_02_2024_09_13,har_rv,B0,11880,116.60780921232409,0.8186021785383162
block_a_2024_08_02_2024_09_13,har_rv,B1a,11880,128.24666351601792,0.7775322935906697
block_a_2024_08_02_2024_09_13,har_rv,B2,11880,40.26619136069279,0.8146813768011176
block_a_2024_08_02_2024_09_13,lightgbm,B0,11880,1.1591079493334189,0.9462340087561121
block_a_2024_08_02_2024_09_13,lightgbm,B1a,11880,1.1157819621299943,0.9895753228121342
block_a_2024_08_02_2024_09_13,lightgbm,B2,11880,1.0792246577268845,0.946110230392295
block_a_2024_08_02_2024_09_13,ridge,B0,11880,116.86065401520587,0.8196305890846425
block_a_2024_08_02_2024_09_13,ridge,B1a,11880,128.28753817697634,0.7783211335603356
block_a_2024_08_02_2024_09_13,ridge,B2,11880,40.501692341109376,0.8163896784034224
block_b_2024_10_01_2024_11_11,elastic_net,B0,11880,2.428501142127544,1.3327810075797164
block_b_2024_10_01_2024_11_11,elastic_net,B1a,11880,2.396848476790631,1.438020396710005
block_b_2024_10_01_2024_11_11,elastic_net,B2,11880,2.0121179603468273,1.477469496349148
block_b_2024_10_01_2024_11_11,gamma_glm,B0,11880,3.522715657369177,1.3763004535355456
block_b_2024_10_01_2024_11_11,gamma_glm,B1a,11880,3.248168106356729,1.4194921506823615
block_b_2024_10_01_2024_11_11,gamma_glm,B2,11880,1.8735677636860726,1.4828408408569782
block_b_2024_10_01_2024_11_11,har_rv,B0,11880,1.8125006128557741,1.2356707712732389
block_b_2024_10_01_2024_11_11,har_rv,B1a,11880,1.8555684305268438,1.2894816965740667
block_b_2024_10_01_2024_11_11,har_rv,B2,11880,1.5092200227107082,1.239728542047807
block_b_2024_10_01_2024_11_11,lightgbm,B0,11880,1.5613540226244618,1.3412826951231156
block_b_2024_10_01_2024_11_11,lightgbm,B1a,11880,1.5331457476462156,1.3773343357768355
block_b_2024_10_01_2024_11_11,lightgbm,B2,11880,1.5829586629153216,1.3992646176781582
block_b_2024_10_01_2024_11_11,ridge,B0,11880,1.8146527113365252,1.2369740627382169
block_b_2024_10_01_2024_11_11,ridge,B1a,11880,1.8577084430584991,1.290594067524442
block_b_2024_10_01_2024_11_11,ridge,B2,11880,1.5122789151746128,1.2416016918575599
